symbole,name
XFAB,X-Fab
GNRO,GeNeuro
IGE,Ige + Xao
AF,Air France - KLM
VIRP,Virbac
ROTH,Rothschild & Co
VCT,Vicat
LAT,Latecoere
GBT,Guerbet
SDG,Synergie
TOUP,Touax
ALTA,Altarea
IMDA,Immob.Dassault
JCQ,Jacquet Metals
ALT,Altran Techn.
ICAD,Icade
BEN,Beneteau
BLC,Bastide Le Confort
CEN,Groupe Crit
EIFF,Tour Eiffel
LBIRD,Lumibird
ERF,Eurofins Scient.
PSAT,Passat
HF,Hf
MTU,Manitou Bf
RBT,Robertet
SCHP,Seche Environnement
AURE,Aurea
MRN,Mersen
NEX,Nexans
AFO,Afone
ACA,Credit Agricole
FII,Lisi
SOP,Sopra Steria Group
MAU,Maurel Et Prom
IDIP,Idi
ATO,Atos
TEP,Teleperformance
RMS,Hermes
RIN,Vilmorin Cie
DEDAL,Dedalus France
SBT,Oeneo
AKW,Akwel
GEA,Gea Grenobl.Elect.
MMT,Metropole Tv
CDA,Alpes (compagnie)
DBG,Derichebourg
CGM,Cegedim
LTA,Altamir
DPT,St Dupont
HCO,High Co
CIB,Cibox Inter A Ctiv
UBI,Ubisoft Entertainment
TFI,Tf1
PSB,Psb Industries
ABIO,Albioma
PREC,Precia
MBWS,Marie Brizard Wine and Spirits
TVLY,Tivoly
BOI,Boiron
GOE,Groupe Gorge
VRAP,Vranken Monopole
ALM,Alpha Mos
ALP,Adl Partner
AUB,Aubay
BON,Bonduelle
INN,Innelec Multimedia
EDI,Media 6
CTRG,CIS (Catering Intl Sces)
COV,Covivio
FFP,FFP
HOP,Hopscotch Groupe
LSS,Lectra
SOG,Sogeclair
AVT,Avenir Telecom
ALHRG,Herige
LACR,Lacroix Industries
GLO,Gl Events
GUI,Guillemot
PIG,Haulotte Group
INF,Infotel
ATE,Alten
GID,Egide
BELI,Belier
ITL,It Link
CAS,Cast
VAC,Pierre Vacances
SAF,Safran
IPS,Ipsos
DVT,Devoteam
ITS,ITS group
BIG,Bigben Interactive
ASY,Assystem
FPG,Union Tech.Infor.
FLE,Fleury Michon
PRC,Artmarket.com
ALLDL,Groupe LDLC
RIB,Riber
ATI,Actia Group
EOS,Acteos
ASP,Ast Groupe
MUN,Micropole
DEC,Jc Decaux Sa.
GECP,Geci Intl
AI,Air Liquide
CA,Carrefour
CNP,Cnp Assurances
FP,Total
OR,L'oreal
VK,Vallourec
RX,Recylex
AC,Accor Hotels
EN,Bouygues
QDT,Quadient
SAN,Sanofi
CS,Axa
BN,Danone
ES,Esso
KN,Natixis
RI,Pernod Ricard
NK,Imerys
BB,Bic
MC,Lvmh
RF,Eurazeo
EO,Faurecia
MF,Wendel Invest.
SW,Sodexo
ML,Michelin
LBON,Lebon
HO,Thales
KER,Kering
UG,Peugeot
EL,EssilorLuxottica
SK,Seb
AM,Dassault Aviation
